titre,auteur,langue,genre,description,annee,source
L’émergence d’un marché de l’art :sociétés artistiques et galeries d’art au Maroc (1832-1956),Mylène Théliol,français,Art,"Le Maroc, sous l’influence puis la domination européenne entre 1832 et 1956, met en place un marché de l’art. Les principaux acteurs sont les peintres et sculpteurs, les sociétés artistiques et les galeries d’art. Grâce à cette interaction commerciale, ce secteur se développe dans le pays et les tendances se modifient en fonction des volontés de chacun des protagonistes. Ainsi, cet ouvrage est l’aboutissement de recherches scientifiques sur l’étude de l’art pictural et sculptural marocain entre 1832 et 1956. À PROPOSD DE L'AUTEURE Mylène Théliol est docteure en histoire de l’art, spécialiste de l’orientalisme français ainsi que du patrimoine et de l’art au Maroc aux XIX et XX siècles. Elle publie des articles et des ouvrages sur ces thèmes.",2023,http://books.google.com/books?id=me-oEAAAQBAJ&dq=livre&hl=&source=gbs_api
Down & Dirty: Slade,Jeanne St. James,français,Fiction,"Bienvenue à Shadow Valley où le club de motos des Dirty Angels règne. Préparez-vous à vous salir les mains, voici l’histoire de Slade… Il pensait aimer la facilité. Jusqu’à ce qu’elle lui montre que c’était ennuyeux. Dès son départ des Marines, la première erreur de Slade a été d’intégrer un club qui empruntait une voie destructrice. Sa deuxième a été de débarquer à Shadow Valley à la recherche de réponses. Il n’avait aucune intention de rejoindre un autre club, même un club comme le MCDA, et il ne cherchait sûrement pas d’vieille dame. Surtout pas une casse-burnes comme Diamond, qui pourrait épiler d’un simple coup d’œil les couilles d’un frère. Née et élevée au MCDA, Diamond était prête à renoncer à son avenir de vieille dame jusqu’à ce que le motard grandement tatoué arrive en ville sur sa Harley. Le problème, c’est que des mois plus tard, Slade reste un mystère. Il ne parle jamais de lui ni de son passé, et Diamond veut des réponses. Néanmoins, elle n’est pas vraiment prête pour ce qu’elle va découvrir : des secrets qui pourraient bien faire imploser le club. Non seulement la loyauté de Slade est remise en question, mais Diamond est contrainte de faire un choix qu’elle ne souhaite pas faire. Une décision qui n’affecte pas seulement Slade, mais tout le club. Note : Down & Dirty : Slade est le sixième livre de la série sur le club de motos des Dirty Angels. Il est fortement recommandé que vous lisiez la série de 10 livres dans l’ordre. Il n’y a pas d’infidélité ni de suspens dans les relations, qui ont toujours une fin heureuse.",2024,http://books.google.com/books?id=f4IVEQAAQBAJ&dq=livre&hl=&source=gbs_api
Droit de la construction,Benoît Kohl,français,Law,"Le droit de la construction est en constante évolution. Si le Code civil ne consacre que quelques articles au contrat d’entreprise de construction, de nombreuses réglementations périphériques encadrent l’opération d’érection d’un bien immeuble. L’ouvrage propose d’examiner le contrat d’entreprise sous le prisme de certaines de ces règlementations particulières, en présentant la jurisprudence la plus récente à ce propos. L’incidence sur le contrat de construction de certaines dispositions d’ordre public, qui figurent tant dans le Code civil que dans d’autres législations, est d’abord analysée. Les aspects financiers du contrat d’entreprise, en particulier le prix et sa fixation, l’incidence de différents événements sur le paiement du prix ou encore les conséquences du préfinancement de l’ouvrage par le maître de l’ouvrage-consommateur, sont ensuite examinés. L’incidence de la nouvelle réglementation relative à la performance énergétique des bâtiments est aussi présentée, sous un angle essentiellement pratique. Le droit de la construction se trouve par ailleurs au croisement de nombreuses disciplines juridiques. Cet ouvrage en constitue une nouvelle illustration, puisqu’il envisage également ce thème sous l’angle du droit pénal.",2017,http://books.google.com/books?id=iuq7DgAAQBAJ&dq=livre&hl=&source=gbs_api
"La théologie chrétienne et la science du salut, ou L'exposition des veritez que Dieu a révelées aux hommes dans la Sainte Ecriture. Avec la refutation des erreurs contraires à ces véritez, ... Par Benedict Pictet, ... Tome premier (-troisieme)",Inconnu,français,Non spécifié,Description non disponible,1721,https://play.google.com/store/books/details?id=ZYVbBYJ8sPsC&source=gbs_api
Doctrine de Confucius ou les quatre livres de philosophie morale et politique de,Confucius,français,Non spécifié,"Le doctrine de Confucius a un caractère essentiellement pratique : elle impose à l'homme, être perfectible, l'obligation de se perfectionner : tous nous devons nous efforcer d'atteindre la perfection idéale qui s'est trouvée dans Confucius même, le maître, l'instituteur par excellence, perfection qui s'appelle la vertu de l'humanité. L'intention, en publiant cet ouvrage, n'est pas de faire connaître au lecteur toutes les croyances religieuses, ni même la religion de la Chine, mais de placer sous ses yeux les quatre livres classiques qui contiennent et exposent la doctrine morale à laquelle la civilisation chinoise est redevable de sa puissance et de sa durée.",2019,http://books.google.com/books?id=wCezDwAAQBAJ&dq=livre&hl=&source=gbs_api
"Observations mathematiques, astronomiques, geographiques, chronologiques, et physiques, tirees des anciens livres chinois; ou faites nouvellement aux Indes et a la Chine, par les peres de la Compagnie de Jesu. Redigees et publiees par le p. E. Souciet ..",Etienne Souciet,français,Non spécifié,Description non disponible,1732,https://play.google.com/store/books/details?id=jmr-GtBRgGEC&source=gbs_api
"Les loix civiles dans leur ordre naturel; le droit public, et legum delectus. Par m. Domat ... Tome premier [-second]. - Nouvelle édition, revue, corrigée, & augmentée des troisieme et quatrieme livres du droit public, par m. de Hericourt ... des notes de feu m. de Bouchevret ... sur le Legum delectus: de celles de feu mm. Berroyer & Chevalier ... et du supplement aux loix civiles, par m. de Jouy ... - A Paris chez la veuve Cavelier, rue S. Jacques, au Lys d'or, 1771. - 2 v",Inconnu,français,Non spécifié,Description non disponible,1771,https://play.google.com/store/books/details?id=0wYjv1jCdRUC&source=gbs_api
Biographie universelle des musiciens et bibliographie générale de la musique,François-Joseph Fétis,français,Fiction,Réimpression inchangée de l'édition originale de 1839. Tome 5 La maison d'édition Antigonos est spécialisée dans la publication de réimpressions de livres historiques. Nous veillons à ce que ces ouvrages soient mis à la disposition du public dans de bonnes conditions afin de préserver leur patrimoine culturel.,2025,http://books.google.com/books?id=Jf2HEQAAQBAJ&dq=livre&hl=&source=gbs_api
"Les cinq codes expliqués par leurs motifs, par des exemples, et par la jurisprudence, avec la solution, sous chaque article, des difficulté",Joseph-André Rogron,français,Non spécifié,Description non disponible,1837,https://play.google.com/store/books/details?id=kliUxWH7c90C&source=gbs_api
Reconquérir son ADN,Margaret Ruby,français,"Body, Mind & Spirit","Combinant l’art de la guérison avec la recherche de pointe, l’auteure nous montre comment travailler sur notre ADN au niveau énergétique afin de le ramener à son état initial. Cette technique absolument extraordinaire permet de reprogrammer notre ADN à partir de schèmes positifs, ce qui entraîne des bénéfices allant bien au-delà de notre santé. Comme pour la couleur de nos yeux et la forme de notre nez, nous avons hérité de nos ancêtres des schèmes d’émotions et de croyances qui, profondément enchâssés en nous à l’instar des secrets familiaux immémoriaux, influent sur notre santé, notre prospérité et nos relations avec les autres, et ce, d’une manière que nous ne pouvons absolument pas soupçonner. Margaret Ruby a développé une technique visant à isoler et inverser énergétiquement les traumatismes et les schèmes négatifs héréditaires. Dans Reconquérir son ADN, elle nous révèle le processus novateur en cinq étapes par lequel plusieurs personnes, un peu partout dans le monde, ont réussi à neutraliser leur programmation héréditaire inconsciente et à réinitialiser leur code génétique en vue d’un bien-être total et d’une parfaite abondance.",2016,http://books.google.com/books?id=Z5BJEAAAQBAJ&dq=livre&hl=&source=gbs_api
"Recueil des actes de la vénérable Marie Poussepin (1653-1744), fondatrice des Sœurs de la Présentation de Tours (1)",Gabriel Théry,français,History,"Cet ouvrage est une réédition numérique d’un livre paru au XXe siècle, désormais indisponible dans son format d’origine.",1938,http://books.google.com/books?id=Fs4AEQAAQBAJ&dq=livre&hl=&source=gbs_api
"Wörterbuch der Handels-, Finanz- und Rechtssprache / Dictionary of Commerical, Financial and Legal Terms / Dictionnaire des Termes Commerciaux, Financiers et Juridiques",HERBST,français,Social Science,"Die Arbeit an den drei Banden dieses Worterbuches wurde 1932 in London begonnen und ist in standiger Fortsetzung auf denjetzt vorliegenden Stand gebracht worden. In seinem Aufbau und in der besonderen An ordnung des Stoffes erstrebt das Werk, einem doppelten Zweck zu dienen: Besonders leichtes und schnelles Auffinden eines Stichwortes in moglichst vielen ""fertig vorbereite ten"" Verbindungen und moglichst wirksamer AusschluJ3 von Obersetzungsfehlern, besonders wenn zwischen mehrfachen Be deutungen desselben Stichwortes gewiihlt werden muJ3. 1m Verfolg dieser Ziele ist das Werk im wahrsten Sinne aus der Praxis entstanden. Dementsprechend ist es auch fUr die Praxis als Nachschlagewerk ffir den Alltagsgebrauch bestimmt. An seiner Schaffung haben Men schen des Berufs- und Geschilfts1ebens mit praktischen Erfahrungen mitgewirkt. Der Entwicklung der drei Sprachen folgend, wurde der Text durch Aufnahme neuer Fachausdriicke und Wendungen bedeutend erweitert und auf den neuesten Stand gebracht. Hierbei wurden auch die im Bereich der internationalen Organisationen - insbesondere der Europl\ischen Gemeinschaften - entwickelten und ge brauchlichen Ausdriicke und Begriffe miteinbezogen. Zug, Schweiz, Januar 1979",2012,http://books.google.com/books?id=mpnwBwAAQBAJ&dq=livre&hl=&source=gbs_api
La Bible au-delà de la religion Tome 2,Dominique Michel,français,Religion,"Avec ce tome 2 de la Bible au-delà de la religion, Dominique MICHEL poursuit son désir d'aider le lecteur à pénétrer dans la Bible et à s'y repérer. Il en dégage les axes majeurs qui donnent à cet ensemble de livres une profonde cohérence qui interpelle. Le tome 1, paru en janvier 2022, décrivait la naissance du peuple hébreu. Yhwh - tétragramme de lettres hébraïques désignant Dieu - a donné à ce peuple, par l'intermédiaire de Moïse, une loi et la promesse d'un territoire pour assurer sa survie et son développement. S'engageait ainsi une révolution religieuse impliquant une éthique radicalement différente de la logique des empires environnants. Le deuxième tome éclaire l'histoire de ce peuple devenu Israël, à travers de nombreux écrits qui constituent, ,avec le Pentateuque, l'Ancien Testament dans le Bibles chrétiennes. Pendant le millénaire avant notre ère, des chroniqueurs, des prophètes et des sages, chacun avec son histoire et son style personnel, tentent d'arracher le peuple aux croyances du sacré primitif. Les cultes sacrificiels à des dieux qui n'existent pas et derrière lesquels l'homme cache sa violence sont des impasses. Ils dénoncent aussi la fascination pour toute forme de puissance qui, loin d'être une garantie de bonheur et de sécurité, tend à dégénérer en domination et injustice. Au sein même des catastrophes, ces auteurs tracent pour l'homme un itinéraire libérateur qui ouvre les oreilles, pénètre les coeurs, illumine et transforme les esprits. Ils révèlent l'imminence d'un monde nouveau qui transcende l'espace et le temps.",2024,http://books.google.com/books?id=Uu06EQAAQBAJ&dq=livre&hl=&source=gbs_api
Inventaire-sommaire des archives hospitalières antérieures à 1790,"André Steyert, Fortuné Rolle",français,Fiction,Réimpression inchangée de l'édition originale de 1874.,2024,http://books.google.com/books?id=YKH8EAAAQBAJ&dq=livre&hl=&source=gbs_api
Oeuvres complètes de Cicéron,Marcus Tullius Cicero,français,Non spécifié,Description non disponible,1864,https://play.google.com/store/books/details?id=KKp2ZxbzxbgC&source=gbs_api
Atti,Inconnu,français,Asia,Includes a later edition of the Proceedings of the 1st congress: Comprenant le sommaire des travaux de la première peŕiode et les mémoires in extenso de la seconde période.,1893,https://play.google.com/store/books/details?id=z0w5AQAAMAAJ&source=gbs_api
Chroniques villageoises,"Simone Chamoux, Alexandre Vernin",français,Fiction,"Qui ne s'est jamais demandé comment fonctionnaient les institutions communales sous l'Ancien Régime ? Quel était le rôle du Seigneur, celui du Châtelain ? Comment étaient élus les consuls ? De quelle façon faisait-on face aux dépenses ordinaires et comment « cueillait-on » les tailles ? Qui secourait les indigents et quelle était l'importance des « parfournissements » militaires ? Et comment se réglaient les humbles détails de la vie quotidienne comme le recrutement du chevrier et celui du garde champêtre, ou encore l'entretien du moulin à huile ? Etablies d'après les cahiers de délibérations consulaires d'un village des Baronnies, berceau de la famille du grand Condorcet, étayées par l'étude du cadastre, des registres paroissiaux, des comptes rendus des visites pastorales et bien entendu par celle des actes notariés, de la fin du XVIIe siècle, ces « CHRONIQUES VILLAGEOISES » répondent à toutes ces questions. Et à bien d'autres encore. Et nous peignent quelques savoureux portraits. Finalement, cette étude va bien au-delà du lieu et de l'époque étudiée. Enseignante de profession, généalogiste passionnée, Simone Chamoux a participé depuis une quinzaine d'années à d'importants travaux de relevés et de classements d'archives. Les réflexions que lui ont suggérées ses travaux ont fait l'objet de publications dans diverses revues de généalogie et d'histoire. Elle a également publié « Le Témoin », notes de lecture du fonds notarial ancien des Baronnies Drômoises (Pages, Valence, 1989), et, dans un souci de conservation du patrimoine « Les Olives, du soleil dans la cuisine » (Utovie, Arudy, 1985).",1993,http://books.google.com/books?id=DcAAEQAAQBAJ&dq=livre&hl=&source=gbs_api
The Bookworm,Inconnu,français,Anthologies,Description non disponible,1892,https://play.google.com/store/books/details?id=FhhQAAAAIAAJ&source=gbs_api
Les Oeuvres posthumes de Mr. Claude. Tome premier .-cinquieme,Inconnu,français,Non spécifié,Description non disponible,1688,https://play.google.com/store/books/details?id=em70kArdov8C&source=gbs_api
Smithsonian Miscellaneous Collections,Inconnu,français,Science,Description non disponible,1874,https://play.google.com/store/books/details?id=OIESi6ADT-4C&source=gbs_api
"Arrangement of the Families of Fishes, Or Classes Pisces, Marsipobranchii, and Leptocardii",Theodore Gill,français,Science,Description non disponible,1872,https://play.google.com/store/books/details?id=ZteeLlN0_XUC&source=gbs_api
"Arrangement of the Families of Fishes Or Classes Pisces, Marsipobranchii, and Leptocardii Prepared for the Smithsonian Institution by Theodore Gill",Theodore Gill,français,Non spécifié,Description non disponible,1872,https://play.google.com/store/books/details?id=u8I9sU7wr-oC&source=gbs_api
... Arrangement of the Families of Mammals. With Analytical Tables,Theodore Gill,français,Mammals,Description non disponible,1874,https://play.google.com/store/books/details?id=dKgKAAAAIAAJ&source=gbs_api
"Dictionnaire universel portatif de la langue française ... Seconde édition, ... augmentée, etc",Claude Marie GATTEL,français,Non spécifié,Description non disponible,1813,https://play.google.com/store/books/details?id=ndzvkzMm00oC&source=gbs_api
Transactions of the Royal Society of Literature of the United Kingdom,Inconnu,français,English literature,Description non disponible,1870,https://play.google.com/store/books/details?id=AGo9AAAAYAAJ&source=gbs_api
Transactions of the Royal Society of Literature of the United Kingdom,Royal Society of Literature of the United Kingdom,français,Non spécifié,Description non disponible,1870,https://play.google.com/store/books/details?id=c2HULb2yAasC&source=gbs_api
Catalogue,"Sotheby, Wilkinson & Hodge",français,Art,Description non disponible,1887,https://play.google.com/store/books/details?id=noJMAQAAMAAJ&source=gbs_api
The Publishers' Trade List Annual,Inconnu,français,Literature,Description non disponible,1877,https://play.google.com/store/books/details?id=vm9fAAAAcAAJ&source=gbs_api
Walford's Antiquarian,"Edward Walford, George W. Redway",français,Archaeology,Description non disponible,1885,https://play.google.com/store/books/details?id=EFJJAAAAMAAJ&source=gbs_api
"Le grand dictionaire historique, ou, Le mélange curieux de l'histoire sacrée et profane",Moréri,français,Non spécifié,Description non disponible,1740,https://play.google.com/store/books/details?id=Tqm9AJaIPUYC&source=gbs_api
Universal Catalogue of Books on Art: L to Z,National Art Library (Great Britain),français,Art,Description non disponible,1870,https://play.google.com/store/books/details?id=1UwkAQAAIAAJ&source=gbs_api
"Foedera, conventiones, litterae, et cujuscunque generis acta publica, inter reges Angliæ et alios quosvis imperatores, reges, pontifices, principes, vel communitates",Thomas Rymer,français,Non spécifié,Description non disponible,1742,https://play.google.com/store/books/details?id=OaDobDSS5u8C&source=gbs_api
The Mastery Series,Thomas Prendergast,français,Non spécifié,Description non disponible,1887,https://play.google.com/store/books/details?id=29czY_qrsS4C&source=gbs_api
Real Algebraic Geometry and Ordered Structures,James J. Madden,français,"Geometry, Algebraic",Description non disponible,1899,https://play.google.com/store/books/details?id=p1A-AQAAIAAJ&source=gbs_api
A General Catalogue of Books Offered to the Public at the Affixed Prices by Bernard Quaritch ...,Inconnu,français,Booksellers' catalogs,Description non disponible,1883,https://play.google.com/store/books/details?id=n2VWAAAAYAAJ&source=gbs_api
Bibliography of Eighteenth Century Art and Illustrated Books,J. Lewine,français,Art,Description non disponible,1898,https://play.google.com/store/books/details?id=XC5MHK7LqIYC&source=gbs_api
First Proofs of the Universal Catalogue of Books on Art,National Art Library (Great Britain),français,Art,Description non disponible,1870,https://play.google.com/store/books/details?id=CsoKAQAAIAAJ&source=gbs_api
The Bailleuls of Flanders and the Bayleys of Willow Hall,Francis Bayley,français,Non spécifié,Description non disponible,1881,https://play.google.com/store/books/details?id=DSkIAAAAQAAJ&source=gbs_api
Évaluation des poids et mesures anciennement en usage dans la province de Franche-Comté ou au comté de Bourgogne,N. FOURCAULT,français,Non spécifié,Description non disponible,1873,https://play.google.com/store/books/details?id=-cUPbWeNuHMC&source=gbs_api
"Industrie Du Livre Au Canada, Avec Où Trouver Qui",Inconnu,français,Book industries and trade,Description non disponible,1993,http://books.google.com/books?id=Zs8mAQAAIAAJ&dq=livre&hl=&source=gbs_api
The Literature of Egypt and the Soudan from the Earliest Times to the Year 1885 [i.e. 1887] Inclusive,"Prince Ibrahim-Hilmy (son of Ismail, Khedive of Egypt)",français,Egypt,Description non disponible,1887,https://play.google.com/store/books/details?id=3ZpGAAAAMAAJ&source=gbs_api
"Reports of the United States Commissioners to the Paris Universal Exposition, 1867",William Phipps Blake,français,Non spécifié,Description non disponible,1870,https://play.google.com/store/books/details?id=BGyHIjbJo-MC&source=gbs_api
Le Jacquard,Inconnu,français,Wool,Description non disponible,1880,https://play.google.com/store/books/details?id=5mUAAAAAMAAJ&source=gbs_api
Dictionary of Political Economy,Robert Harry Inglis Palgrave,français,Economics,Description non disponible,1896,https://play.google.com/store/books/details?id=u0GuJ11i9OUC&source=gbs_api
Catalogue of the Library of Parliament,Canada. Library of Parliament,français,Canada,Description non disponible,1878,https://play.google.com/store/books/details?id=-B5EAAAAYAAJ&source=gbs_api
The Mastery Series. French,Thomas Prendergast,français,French language,Description non disponible,1873,https://play.google.com/store/books/details?id=14MCAAAAQAAJ&source=gbs_api
Indian Antiquary,Inconnu,français,English periodicals,"""At a time when each Society had its own medium of propogation of its researches ... in the form of Transactions, Proceedings, Journals, etc., a need was strongly felt for bringing out a journal devoted exclusively to the study and advancement of Indian culture in all its aspects. [This] encouraged Jas Burgess to launch the 'Indian antiquary' in 1872. The scope ... was in his own words 'as wide as possible' incorporating manners and customs, arts, mythology, feasts, festivals and rites, antiquities and the history of India ... Another laudable aim was to present the readers abstracts of the most recent researches of scholars in India and the West ... 'Indian antiquary' also dealt with local legends, folklore, proverbs, etc. In short 'Indian antiquary' was ... entirely devoted to the study of MAN - the Indian - in all spheres ...""--Introduction to facsimile volumes, published 1985",1898,https://play.google.com/store/books/details?id=2zRCAQAAMAAJ&source=gbs_api
Industrie Du Livre Au Canada,Inconnu,français,Book industries and trade,Description non disponible,1981,http://books.google.com/books?id=B_xoAAAAIAAJ&dq=livre&hl=&source=gbs_api
Catalogue of the International Health Exhibition Library,"International Health Exhibition, London, 1884",français,Children,Description non disponible,1884,https://play.google.com/store/books/details?id=UYGZyALJdxgC&source=gbs_api
Senate Documents,USA. Congress. Senate,français,Non spécifié,Description non disponible,1898,https://play.google.com/store/books/details?id=ojmMN0sE_noC&source=gbs_api
Bulletin of the Pan American Union,Pan American Union,français,America,Description non disponible,1897,https://play.google.com/store/books/details?id=KT49AQAAMAAJ&source=gbs_api
"Histoire de la littérature latine chrétienne, depuis les origines jusqu'à Charlemagne",Adolf Ebert,français,"Literature, Medieval",Description non disponible,1883,https://play.google.com/store/books/details?id=iXcGAAAAQAAJ&source=gbs_api
The Living Method for Learning how to Think in French,Charles Frederick Kroeh,français,Foreign Language Study,Description non disponible,1892,https://play.google.com/store/books/details?id=JlEXAAAAYAAJ&source=gbs_api
The Student's French Grammar,Charles Heron Wall,français,French language,Description non disponible,1883,https://play.google.com/store/books/details?id=0_EIAAAAQAAJ&source=gbs_api
Bulletins of the Bureau of the American Republics,International Bureau of the American Republics,français,Pan-Americanism,Description non disponible,1896,https://play.google.com/store/books/details?id=8483AQAAMAAJ&source=gbs_api
Annual report,Inconnu,français,Non spécifié,Description non disponible,1879,https://play.google.com/store/books/details?id=ugxwgXwmMvgC&source=gbs_api
"A Catalogue of Books in the Library of the Royal Academy of Arts, London",Royal Academy of Arts (Great Britain). Library,français,Art,Description non disponible,1877,https://play.google.com/store/books/details?id=4b4HP8XpkV4C&source=gbs_api
Annual Report,New York State Library,français,Non spécifié,Description non disponible,1879,https://play.google.com/store/books/details?id=3P0bAQAAIAAJ&source=gbs_api
New York State Library [annual Report],New York State Library,français,Libraries,"From 1889 to 1918 the reports consist of the Report of the director and appendixes, which from 1893 include various bulletins issued by the library (Additions; Bibliography; History; Legislation; Library school; Public libraries) These, including the Report of the director, were each issued also separately.",1879,https://play.google.com/store/books/details?id=Ge0_AQAAMAAJ&source=gbs_api
"A Treatise on the Effect of the Contract of Sale on the Legal Rights of Property and Possession in Goods, Wares and Merchandise",Colin Blackburn Baron Blackburn,français,Contracts,Description non disponible,1885,https://play.google.com/store/books/details?id=m-dMAQAAMAAJ&source=gbs_api
"Matriculation model answers: French. Being the papers from June 1888 to Jan. 1894 (to Jan. 1897, June 1893 to Jan. 1899, to Jan. 1900, to Jan. 1902, June 1897 to Sept. 1902, Jan. 1899 to Sept. 1904, to Sept. 1905, to Sept. 1906, Jan. 1901 to Jan. 1907, to Sept. 1907, to Sept. 1908, Jan. 1905 to June 1909, to Jan. 1910, to Sept. 1910, to June 1911, June 1911 to June 1915), with answers by tutors of University correspondence college","London univ, exam. papers",français,Non spécifié,Description non disponible,1894,https://play.google.com/store/books/details?id=3WToQdYMIHsC&source=gbs_api
Diplomatic and Consular Reports,Great Britain. Foreign Office,français,Consular reports,Description non disponible,1894,https://play.google.com/store/books/details?id=Upj8f7TjNFsC&source=gbs_api
Bulletin,Inconnu,français,Latin America,Description non disponible,1892,https://play.google.com/store/books/details?id=FspOAQAAMAAJ&source=gbs_api
Bulletin,International Bureau of the American Republics,français,America,Description non disponible,1892,https://play.google.com/store/books/details?id=PaoCAAAAYAAJ&source=gbs_api
The first proofs of the Universal catalogue of books on art,Universal catalogue,français,Art,Description non disponible,1870,https://play.google.com/store/books/details?id=6cgKAQAAIAAJ&source=gbs_api
Linguistica Silesiana,Inconnu,français,Linguistics,Description non disponible,2011,http://books.google.com/books?id=-0pF6crn9McC&dq=livre&hl=&source=gbs_api
